"scientific_name","taxocode","a3_code","isscaap","english_name"
"Bidenichthys capensis","1580600301","BDC",33,"Freetail brotula"
"Brosmodorsalis persicinus","1580600401","BDP",33,"Pink brotula"
"Brotulina erythrea","1580600501","BRY",33,""
"Bythites islandicus","1580600601","BII",34,""
"Calamopteryx goslinei","1580600701","CXI",33,"Longarm brotula"
"Cataetyx alleni","1580600801","CXL",34,""
"Cataetyx laticeps","1580600802","TVY",34,""
"Dermatopsis macrodon","1580600901","DTC",33,"Fleshfish"
"Dermatopsoides kasougae","1580601001","DTK",33,"Orange brotula"
"Diancistrus longifilis","1580601101","DCG",33,""
"Dinematichthys dasyrhynchus","1580601201","DMD",33,""
"Diplacanthopoma japonicum","1580601301","DTJ",34,""
"Dipulus caecus","1580601401","DUC",33,""
"Grammonoides opisthodon","1580601501","GMO",33,"Bighead brotula"
"Grammonus ater","1580601601","GMT",33,""
"Grammonus diagrammus","1580601602","BPS",33,"Purple brotula"
"Gunterichthys longipenis","1580601701","GTL",33,"Gold brotula"
"Lucifuga dentatus","1580601801","LUX",33,"Toothed Cuban cusk-eel"
"Monothrix mizolepis","1580601901","MXM",33,""
"Ogilbia cayorum","1580602001","OGY",33,"Key brotula"
"Stygnobrotula latebricola","1580602201","SGE",33,""
"Thalassobathia pelagica","1580602301","TLI",34,""
"Aphyonus brevidorsalis","1580700101","AYV",34,""
"Barathronus maculatus","1580700201","BTL",34,""
"Nybelinella erikssoni","1580700301","NYK",34,""
"Sciadonus cryptophthalmus","1580700401","NYE",34,""
"Parabrotula plagiophthalma","1580800101","PBP",34,""
"Percopsis omiscomaycus","1590100101","PFO",13,"Trout-perch"
"Aphredoderus sayanus","1590200201","PHY",13,"Pirate perch"
"Amblyopsis rosae","1590300101","ABY",13,"Ozark cavefish"
"Chologaster cornuta","1590300201","AYC",13,"Swampfish"
"Forbesichthys agassizi","1590300301","AFA",13,"Spring cavefish"
"Speoplatyrhinus poulsoni","1590300401","TYP",13,"Alabama cavefish"
"Typhlichthys subterraneus","1590300501","TYS",13,"Southern cavefish"
"Rondeletia bicolor","1600100101","RRB",34,""
"Barbourisia rufa","1600200101","BBF",34,"Velvet whalefish"
"Cetichthys indagator","1600300101","CJI",34,""
"Cetomimus picklei","1600300201","CJK",34,""
"Cetostoma regani","1600300301","CJR",34,"Pink flabby whalefish"
"Danacetichthys galathenus","1600300401","DYG",34,""
"Ditropichthys storeri","1600300501","DYS",34,""
"Gyrinomimus andriashevi","1600300601","GYD",34,""
"Gyrinomimus grahami","1600300602","GFY",34,"Flabby whalefish"
"Notocetichthys trunovi","1600300701","NTV",34,""
"Procetichthys kreffti","1600300801","PYK",34,""
"Rhamphocetichthys savagei","1600300901","RYS",34,""
"Cetomimidae","16003XXXXX","CWT",34,""
"Polymixia japonica","1610100101","PXJ",34,""
"Polymixia nobilis","1610100102","PXV",34,"Stout beardfish"
"Beryx decadactylus","1610200301","BXD",34,"Alfonsino"
"Beryx splendens","1610200302","BYS",34,"Splendid alfonsino"
"Beryx spp","16102003XX","ALF",34,"Alfonsinos nei"
"Centroberyx affinis","1610201201","CXF",34,"Redfish"
"Centroberyx gerrardi","1610201202","CXZ",34,"Bight redfish"
"Centroberyx lineatus","1610201203","CWB",34,"Swallow-tail"
"Berycidae","16102XXXXX","BRX",34,"Alfonsinos, etc. nei"
"Diretmichthys parini","1610300101","SFN",34,"Parin's spinyfish"
"Diretmoides veriginae","1610300201","DTV",34,""
"Diretmus argenteus","1610301101","DUU",34,"Silver spinyfin"
"Gephyroberyx darwinii","1610500101","GXW",34,"Darwin's slimehead"
"Hoplostethus mediterraneus","1610500201","HPR",34,"Mediterranean slimehead"
"Hoplostethus atlanticus","1610500202","ORY",34,"Orange roughy"
"Aulotrachichthys novaezelandicus","1610500301","ANZ",34,""
"Optivus elongatus","1610500501","OVE",34,"Slender roughy"
"Trachichthys australis","1610501001","TCU",34,""
"Paratrachichthys trailli","1610501301","TPT",34,"Sandpaper fish"
"Sorosichthys ananassa","1610501501","TSA",34,"Little pineapple fish"
"Trachichthyidae","16105XXXXX","TRC",34,"Slimeheads nei"
"Cleidopus gloriamaris","1610900101","MCJ",34,"Pineapplefish"
"Monocentris japonica","1610900701","MMJ",34,"Pineconefish"
"Anomalops katoptron","1611000101","AKA",34,"Splitfin flashlightfish"
"Kryptophanaron alfredi","1611000201","KYA",34,"Atlantic flashlightfish"
"Photoblepharon steinitzi","1611000301","PBZ",34,"Flashlight fish"
"Phthanophaneron harveyi","1611000401","PVY",34,"Gulf flashlightfish"
"Holocentrus ascensionis","1611100502","HOO",33,"Squirrelfish"
"Myripristis jacobus","1611100601","MJA",33,"Blackbar soldierfish"
"Myripristis murdjan","1611100602","HMJ",33,"Pinecone soldierfish"
"Myripristis berndti","1611100603","YJW",33,"Blotcheye soldierfish"
"Neoniphon argenteus","1611100701","HNA",33,"Clearfin squirrelfish"
"Neoniphon sammara","1611100702","NHS",33,"Sammara squirrelfish"
"Ostichthys acanthorhinus","1611100801","HOH",33,""
"Ostichthys japonicus","1611100802","HWJ",33,"Japanese soldierfish"
"Ostichthys kaianus","1611100803","HWK",33,"Kai soldierfish"
"Plectrypops lima","1611100901","HPS",33,"Shy soldier"
"Pristilepis oligolepis","1611101001","HPO",33,"Spinyface soldier"
"Sargocentron caudimaculatum","1611101101","HSU",33,"Silverspot squirrelfish"
"Sargocentron spiniferum","1611101102","HVS",33,"Sabre squirrelfish"
"Sargocentron diadema","1611101103","HWD",33,"Crown squirrelfish"
"Adioryx hastatus","1611101501","AXH",33,"Red squirrelfish"
"Holocentridae","16111XXXXX","HCZ",33,"Squirrelfishes nei"
"Gibberichthys latifrons","1611200101","GBT",34,""
"Melamphaes acanthomus","1611300101","MMT",34,"Slender bigscale"
"Melamphaes microps","1611300102","MWM",34,""
"Poromitra crassiceps","1611300201","PMC",34,"Crested bigscale"
"Scopeloberyx microlepis","1611300301","SXM",34,""
"Scopelogadus beanii","1611300401","SBN",34,""
"Sio nordenskjoeldii","1611300501","SIK",34,""
"Anoplogaster cornuta","1611401601","AGW",34,"Common fangtooth"
"Acanthochaenus lutkeni","1611500101","SUK",34,""
"Hispidoberyx ambagiosus","1611600101","HXG",34,""
"Zeus faber","1620100101","JOD",34,"John dory"
"Zeus capensis","1620100104","ZCP",34,"Cape dory"
"Zenopsis conchifer","1620100401","JOS",34,"Silvery John dory"
"Zenopsis nebulosus","1620100402","ZNE",34,"Mirror dory"
"Capromimus abbreviatus","1620100801","ZCA",34,"Capro dory"
"Cyttomimus affinis","1620100901","ZCF",34,""
"Cyttopsis cypho","1620101001","ZCC",34,""
"Cyttus novaezealandiae","1620101101","ZCN",34,"New Zealand dory"
"Cyttus traversi","1620101102","ZCT",34,"King dory"
